DOCUMENTOASSOCIADO;BI;EXCEL
4-91009127828;2;1
4-91013545475;2;1
4-91014165679;2;1
4-91021146601;2;1
4-91021396900;2;1
4-91022786706;2;1
4-91024449684;2;1
4-91025531075;2;1
4-91026712542;2;1
4-91026960894;2;1
4-91034226960;2;1
4-91038968044;2;1
4-91040055862;2;1
4-91042599973;2;1
4-91044084002;2;1
4-91045215072;2;1
4-91048712684;2;1
4-91048721765;2;1
4-91051315953;2;1
4-91084719089;2;1
4-91088708217;2;1
4-91089950600;2;1
4-91095482319;2;1
4-91098339816;2;1
4-91102270750;2;1
4-91104756136;2;1
4-91105798852;2;1
4-91106144580;2;1
4-91112181244;2;1
4-91112662722;2;1
4-91114494328;2;1
4-91116294283;2;1
4-91117848892;2;1
4-91118533521;2;1
4-91120871267;2;1
4-91124239602;2;1
4-91124390636;2;1
4-91125115583;2;1
4-91125402518;2;1
4-91126337666;2;1
4-91128047653;2;1
4-91129264940;2;1
4-91130088213;2;1
4-91130505280;2;1
4-91133398680;2;1
4-91133432191;2;1
4-91133474070;2;1
4-91135979686;2;1
4-91136185500;2;1
4-91141959978;2;1
4-91142338584;2;1
4-91143733312;2;1
4-91144371966;2;1
4-91145292128;2;1
4-91147259573;2;1
4-91147767939;2;1
4-91148943346;2;1
4-89855190236;2;1
4-89856984003;2;1
4-89875867719;2;1
4-89878094691;2;1
4-89878826146;2;1
4-89879960235;2;1
4-89881684881;2;1
4-89890371642;2;1
4-89894516889;2;1
4-89914683177;2;1
4-89919629224;2;1
4-89923539585;2;1
4-90001984787;2;1
4-90010728416;2;1
4-90050725499;2;1
4-90054095403;2;1
4-90058202315;2;1
4-90076508576;2;1
4-90081421886;2;1
4-90082252091;2;1
4-90082641355;2;1
4-90090309993;2;1
4-90107924015;2;1
4-90151907406;2;1
4-90159727358;2;1
4-90164015842;2;1
4-90167476862;2;1
4-90173558386;2;1
4-90176884968;2;1
4-90186819218;2;1
4-90200378046;2;1
4-90203015049;2;1
4-90205247179;2;1
4-90208506032;2;1
4-90212027578;2;1
4-90214699496;2;1
4-90215391933;2;1
4-90229451740;2;1
4-90234465228;2;1
4-90268642971;2;1
4-90275017588;2;1
4-90281189707;2;1
4-90290467343;2;1
4-90290541954;2;1
4-90293993746;2;1
4-90296797748;2;1
4-90302024101;2;1
4-90304008781;2;1
4-90306519346;2;1
4-90307561891;2;1
4-90309234863;2;1
4-90310570008;2;1
4-90314456024;2;1
4-90326656821;2;1
4-90332925963;2;1
4-90333322292;2;1
4-90333794439;2;1
4-90336386267;2;1
4-90340141628;2;1
4-90351560650;2;1
4-90395299879;2;1
4-90404276757;2;1
4-90404763770;2;1
4-90409561418;2;1
4-90416432728;2;1
4-90420087471;2;1
4-90429572203;2;1
4-90436880994;2;1
4-90464077732;2;1
4-90474420888;2;1
4-90483203791;2;1
4-90592922031;2;1
4-90627858896;2;1
4-90628660083;2;1
4-90638993530;2;1
4-90651235439;2;1
4-90651372464;2;1
4-90653571807;2;1
4-90657812745;2;1
4-90663869148;2;1
4-90673871420;2;1
4-90676270013;2;1
4-90678653217;2;1
4-90682819125;2;1
4-90686590663;2;1
4-90689008400;2;1
4-90690134907;2;1
4-90691391795;2;1
4-90691780382;2;1
4-90693945172;2;1
4-90696603617;2;1
4-90698365491;2;1
4-90702963700;2;1
4-90704560748;2;1
4-90705431277;2;1
4-90711302227;2;1
4-90714402515;2;1
4-90718936368;2;1
4-90720528404;2;1
4-90789803097;2;1
4-90791072309;2;1
4-90801984704;2;1
4-90803885755;2;1
4-90812387831;2;1
4-90812628717;2;1
4-90813413117;2;1
4-90816961820;2;1
4-90820663637;2;1
4-90820724122;2;1
4-90822968454;2;1
4-90824939366;2;1
4-90831438048;2;1
4-90837595078;2;1
4-90840387830;2;1
4-90844189957;2;1
4-90844768500;2;1
4-90849837618;2;1
4-90853863509;2;1
4-90854321821;2;1
4-90859024052;2;1
4-90862488007;2;1
4-90865235420;2;1
4-90872664059;2;1
4-90879427208;2;1
4-90879856489;2;1
4-90881833593;2;1
4-90882390201;2;1
4-90883639328;2;1
4-90886975448;2;1
4-90890046754;2;1
4-90899633556;2;1
4-90907688055;2;1
4-90979690827;2;1
4-90980289118;2;1
4-90980973504;2;1
4-90981736086;2;1
4-90983416911;2;1
4-90985742342;2;1
4-90986296970;2;1
4-90986574907;2;1
4-90988444529;2;1
4-90988612983;2;1
4-90994825525;2;1
4-90998647667;2;1
4-91002712567;2;1
4-91004727316;2;1
4-91009680369;2;1
4-91014703413;2;1
4-91015162179;2;1
4-91015260552;2;1
4-91015269319;2;1
4-91019241351;2;1
4-91019961577;2;1
4-91022447256;2;1
4-91022722834;2;1
4-91025102197;2;1
4-91026212618;2;1
4-91031273640;2;1
4-91032095836;2;1
4-91033008356;2;1
4-91033657633;2;1
4-91034252961;2;1
4-91036374292;2;1
4-91041298797;2;1
4-91044060396;2;1
4-91046037301;2;1
4-91048483903;2;1
4-91050895703;2;1
4-91051873103;2;1
4-91052588271;2;1
4-91055212476;2;1
4-91056893634;2;1
4-91085746231;2;1
4-91088309750;2;1
4-91094089208;2;1
4-91094175196;2;1
4-91099405968;2;1
4-91103849581;2;1
4-91103915120;2;1
4-91107622152;2;1
4-91113228173;2;1
4-91114016211;2;1
4-91114031441;2;1
4-91114292256;2;1
4-91114929470;2;1
4-91115111615;2;1
4-91115440256;2;1
4-91117101611;2;1
4-91118033781;2;1
4-91124008286;2;1
4-91126808912;2;1
4-91127425285;2;1
4-91128380251;2;1
4-91128722827;2;1
4-91129042757;2;1
4-91130446079;2;1
4-91130711638;2;1
4-91133286417;2;1
4-91133475168;2;1
4-91134333393;2;1
4-91134698252;2;1
4-91134964732;2;1
4-91135102131;2;1
4-91135193774;2;1
4-91135746003;2;1
4-91135829876;2;1
4-91138934965;2;1
4-91139787052;2;1
4-91144673967;2;1
4-91146936472;2;1
4-91150907860;2;1
4-91155496606;2;1
4-91156367073;2;1
4-91156805875;2;1
4-91158808496;2;1
4-91160680079;2;1
4-91160762486;2;1
4-91160808506;2;1
4-91161308574;2;1
4-91163329983;2;1
4-90099634599;2;1
4-90142606211;2;1
4-90145964811;2;1
4-90148690349;2;1
4-90176303149;2;1
4-90186058351;2;1
4-90187223962;2;1
4-90194742361;2;1
4-90200783825;2;1
4-90202525139;2;1
4-90205345306;2;1
4-90207423759;2;1
4-90211861684;2;1
4-90217646719;2;1
4-90219199105;2;1
4-90220112519;2;1
4-90223283496;2;1
4-90225918381;2;1
4-90231308939;2;1
4-90268387408;2;1
4-90275101095;2;1
4-90277335589;2;1
4-90279872443;2;1
4-90291360371;2;1
4-90296972831;2;1
4-90298856320;2;1
4-90299938673;2;1
4-90301239478;2;1
4-90304010337;2;1
4-90317750646;2;1
4-90320662348;2;1
4-90322953780;2;1
4-90324600301;2;1
4-90332432628;2;1
4-90333676668;2;1
4-90336276294;2;1
4-90338514667;2;1
4-90339373539;2;1
4-90343688602;2;1
4-90346292328;2;1
4-90382957037;2;1
4-90405548625;2;1
4-90407625373;2;1
4-90408127919;2;1
4-90409577329;2;1
4-90413124714;2;1
4-90415445401;2;1
4-90422335993;2;1
4-90427210031;2;1
4-90428467574;2;1
4-90431186908;2;1
4-90477354098;2;1
4-90482496536;2;1
4-90486372792;2;1
4-90627837580;2;1
4-90628467840;2;1
4-90642308083;2;1
4-90661116273;2;1
4-90661809130;2;1
4-90665264335;2;1
4-90674320008;2;1
4-90676067213;2;1
4-90684102494;2;1
4-90690886968;2;1
4-90691257949;2;1
4-90694531830;2;1
4-90697188053;2;1
4-90699143523;2;1
4-90702147198;2;1
4-90707212997;2;1
4-90707391288;2;1
4-90710062886;2;1
4-90710197005;2;1
4-90717978847;2;1
4-90720160646;2;1
4-90721265852;2;1
4-90737360469;2;1
4-90740587198;2;1
4-90790773461;2;1
4-90796174461;2;1
4-90806566437;2;1
4-90808122357;2;1
4-90816291329;2;1
4-90818744023;2;1
4-90819659215;2;1
4-90821200036;2;1
4-90827133291;2;1
4-90831182607;2;1
4-90832967686;2;1
4-90833471747;2;1
4-90834082313;2;1
4-90838252123;2;1
4-90841471631;2;1
4-90842473157;2;1
4-90845419438;2;1
4-90850120247;2;1
4-90857545825;2;1
4-90861025253;2;1
4-90866764854;2;1
4-90870771077;2;1
4-90871077776;2;1
4-90871967130;2;1
4-90873417085;2;1
4-90873648148;2;1
4-90875333977;2;1
4-90879104278;2;1
4-90880660188;2;1
4-90900113942;2;1
4-90900144366;2;1
4-90904291027;2;1
4-90908471850;2;1
4-90966319070;2;1
4-90981555612;2;1
4-90987480029;2;1
4-90990331128;2;1
4-90990652898;2;1
4-90995415340;2;1
4-90995486850;2;1
4-90995629405;2;1
4-90995968755;2;1
4-90997239614;2;1
4-91004366207;2;1
4-91008747162;2;1
4-91010515922;2;1
4-91011623458;2;1
4-91014979161;2;1
4-91015787682;2;1
4-91017521684;2;1
4-91022172277;2;1
4-91027309532;2;1
4-91027882732;2;1
4-91032490155;2;1
